SleepQuality,Regularity,Steps,Alarm,PA,MovementsPerHour,TimeInBed,TimeAsleep,TimeBeforeSleep,Snore,SnoreTime,Temperature
1,0,7412,1,0,129.9,27064.7,25440.8,180.4,0,0,32
1,0,8293,0,0,50.2,36279.8,32168.1,4111.7,0,0,32
1,89,554,0,0,58.4,33787.8,28719.6,4167.2,0,0,32
0,80,0,1,0,92.1,21823.5,21678.1,145.5,0,0,56.5
1,84,0,1,0,68.2,25824.4,22209,1721.6,0,0,53.1
0,72,0,0,0,59.9,22089.2,18186.8,1914.4,0,0,32
1,78,0,0,0,65.3,27035.3,23160.2,1532,0,0,32
1,76,0,0,0,46.4,26752.7,22739.8,2051,0,0,32
1,88,0,0,0,60,29182.2,25680.3,1459.1,0,0,32
0,75,0,1,0,58.7,21987.7,16270.9,1685.7,0,0,50.9
1,71,0,0,0,59,30082.9,24367.1,2105.8,0,0,32
0,68,0,0,0,82.7,19902.8,17912.5,1326.9,0,0,32
1,66,0,0,0,58.2,29377.1,26929,1860.6,0,0,32
1,79,0,0,0,53.6,25559.8,19936.6,2215.2,0,0,32
1,82,0,0,0,58.6,28132,24662.4,1875.5,0,0,32
1,78,0,0,0,48.7,29468.9,25441.5,1768.1,0,0,32
1,74,0,0,0,54.5,23792.9,20541.2,1982.7,0,0,32
1,72,0,0,0,59.8,31171.9,28262.5,1350.8,0,0,32
1,85,0,0,0,71.5,30325.6,25271.4,202.2,0,0,32
0,79,0,0,0,55.1,20853.6,16196.3,2015.9,0,0,32
1,86,0,0,0,54.6,23492.7,20282,1801.1,0,0,32
1,82,0,0,0,68.6,31053.5,28051.7,2173.7,0,0,32
1,69,0,0,0,67.5,26658.7,22393.3,177.7,0,0,32
1,73,0,0,0,54.4,30864.2,25617.3,1543.2,0,0,32
1,90,0,0,0,72.1,30561.6,29644.7,203.7,0,0,32
0,64,0,1,0,60.1,20556,17883.7,1370.4,0,0,54.9
1,0,0,0,0,89.3,38336,32074.4,255.6,0,0,32
0,77,0,0,0,93.3,28602.3,24502.6,1716.1,0,0,32
1,83,0,0,0,98.7,33711.7,28655,224.7,0,0,32
1,84,0,1,0,66.4,30095.4,26784.9,200.6,0,0,68
1,80,0,1,0,54.4,28062,22449.6,187.1,0,0,74.5
1,81,0,0,0,73.8,31538.7,26702.8,210.3,0,0,32
1,83,0,0,0,75.1,34121.3,28320.6,227.5,0,0,32
1,89,0,0,0,68.6,26044.8,23093,173.6,0,0,32
0,0,0,0,0,56.2,20692.6,16967.9,138,0,0,32
1,77,0,0,0,56.3,35850.6,29636.5,239,0,0,32
1,73,0,0,0,63,23974.4,19259.4,159.8,0,0,32
1,72,0,0,0,63.1,36537.2,33857.8,243.6,0,0,32
0,63,0,0,0,71.3,17045.6,14772.9,113.6,0,0,32
1,64,0,0,0,69.8,28243.1,23253.5,188.3,0,0,32
0,61,0,1,0,68.4,23253.9,19455.8,155,0,0,52.2
1,52,0,0,0,48.8,30760.4,26761.6,205.1,0,0,32
0,38,0,0,0,73.7,25080.5,21569.2,167.2,0,0,32
1,59,0,1,0,66.4,31046,28251.9,207,0,0,75.6
0,53,0,1,0,61.6,22812.6,18554.2,152.1,0,0,32
1,51,0,1,0,58.4,29551.2,24921.5,197,0,0,67.5
1,83,0,0,0,74.3,32929.6,30295.3,219.5,0,0,32
1,92,0,0,0,78.3,29496.4,27824.9,196.6,0,0,32
1,66,0,0,0,61.7,24232.1,21808.9,161.5,0,0,32
0,62,0,0,0,120.1,31448.2,26835.8,209.7,0,0,32
0,56,0,1,0,77.6,24373.6,20961.3,162.5,0,0,44.4
0,63,0,1,0,68.3,23469.4,20027.2,156.5,0,0,41.2
1,93,0,1,0,55.2,26385.7,22251.9,175.9,0,0,42.1
0,92,0,1,0,72.6,22937.5,17891.2,152.9,0,0,39.6
1,96,0,1,0,54.4,22858.3,19124.7,152.4,0,0,38.8
1,95,0,1,0,32.7,19754,16330,131.7,0,0,40.1
1,91,0,1,0,51.1,27058.9,25435.4,180.4,0,0,42.6
1,60,0,0,0,55.9,33287.5,30291.6,221.9,0,0,32
0,49,0,1,0,42.2,20217.6,16039.3,134.8,0,0,43
0,78,0,1,0,58,21126.6,17746.4,140.8,0,0,41.2
1,95,0,1,0,34.9,21510.2,19144.1,143.4,0,0,40.1
0,0,0,1,0,55.7,21392.9,18968.4,142.6,0,0,48
1,93,0,1,0,58.2,23264.4,20705.3,155.1,0,0,47.1
1,96,0,1,0,48.6,23352.6,21017.3,155.7,0,0,48.2
